_id,count
did:plc:k33x65p6lhf6mswwxcpzpa6l,12015
did:plc:vvoar5jz2p4zfs5xfaob3ewl,6832
did:plc:6ogneq3y6sew2cwjyi2wslm4,6241
did:plc:o6ggjvnj4ze3mnrpnv5oravg,5658
did:plc:i53e6y3liw2oaw4s6e6odw5m,4267
did:plc:mnq7rvrlqls4gzh6eo6kzhkg,3865
did:plc:3cjewjzjxyjp6v7zib4op4l5,3074
did:plc:4zopdgl2afmydmp5rrin56cv,2628
did:plc:iw7f7zll6xwb4ulmzjhgnrzg,2544
did:plc:qcwhrvzx6wmi5hz775uyi6fh,2187
did:plc:65r3dy2t6xfuwidxmzvctvsh,2025
did:plc:6vwzq6ohuaspqpg3sa6ebsgw,1938
did:plc:26t2me6brgrdzuvb7drcoil5,1883
did:plc:ajk7weaqmweyxtoyiyai3szq,1846
did:plc:4hhkkh25e523w3hipgpkf3bh,1202
did:plc:nr4ky3sfnfdfyqihvgo3yhhk,1139
did:plc:mnmzpxebkmcg6rjchfgitc6c,1065
did:plc:pvjjztewolztnjdtdmsu4kjt,1024
did:plc:c4gzkrxtgj6ap77xngq2xbiu,968
did:plc:rqguygsoelhyqast3w6nocn3,899
did:plc:mnkadilfwykwaz65bsyfi6j6,855
did:plc:oag62syeramadgfv57dlk2vr,751
did:plc:fmi3jbndmqvweizu77hnozdy,724
did:plc:oye4xbhmn75wccbhntxuqmuo,719
did:plc:mbz7u54y4mfoz4fjymh4gyqb,704
did:plc:at2vjbbos2pzzhrzpjrmv4i6,704
did:plc:bghb2tz2tc4gvhy7j7a5xb6p,701
did:plc:qvkitlnk74oeq65dpiyczg5l,701
did:plc:kiapuhawh5r2jhv5c7ln6a6g,700
did:plc:voa5jj4mjj2u76o7cp6qanjz,697
did:plc:hhw3qrlmoes7j74yjrbep2fv,654
did:plc:rus7u5pcqdscpzjjrkutlr7l,646
did:plc:bxbou45dh7mhgrkiefnp6jve,627
did:plc:mg5ozsljpp6t5b4lvwys4t72,626
did:plc:khlgqokfbekwh3a25ogfnjq3,600
did:plc:hslirr7h6d7livppaxty435b,600
